402051050,4,0,0,23,21,0,3,10,8,77,18,8,8,0,7,0,23,23,9,7,14,0,3,68,4,4,0,0,16,7,19,7,23,0,11,0,11,56,20,0,0,0,8,0,0,17,9,4,0,7,19
402051051,3,8,0,45,52,0,11,41,20,41,26,11,8,0,11,10,38,21,30,14,22,0,14,60,25,0,40,0,25,13,24,19,32,4,7,0,16,89,20,0,0,0,23,0,6,12,15,3,4,17,31
402051052,12,62,28,280,523,7,16,233,98,410,847,40,134,10,137,190,183,172,132,97,316,4,255,726,244,247,202,0,157,47,203,238,201,43,112,8,98,1507,299,7,90,26,124,58,15,256,98,140,52,269,238
402051053,0,17,0,78,59,0,9,53,20,360,56,25,35,0,29,20,48,22,9,40,34,0,23,216,23,0,49,0,46,21,23,36,46,63,17,0,27,100,39,0,3,0,22,4,3,47,16,4,10,17,46
402051054,7,10,4,47,81,0,7,36,11,159,33,9,10,3,18,14,70,33,47,33,39,0,26,121,68,12,48,0,35,14,35,23,50,4,11,0,22,140,55,0,6,6,26,0,3,50,26,9,12,45,61
402051055,3,19,0,85,139,0,16,58,26,134,143,7,28,4,25,93,108,44,55,86,97,0,70,273,117,8,81,0,66,14,43,70,61,18,33,0,66,257,61,0,17,14,294,17,4,77,37,19,14,99,67
403011056,9,40,0,163,180,6,20,156,45,324,308,25,71,0,33,31,75,54,124,61,71,0,155,791,172,3,100,0,84,38,101,98,85,21,27,0,97,258,64,0,9,3,25,16,3,137,13,25,10,149,79
403011057,21,88,6,268,535,7,34,280,104,304,311,52,61,7,66,166,239,82,273,75,207,0,115,406,608,34,228,0,154,72,129,224,219,83,90,7,220,754,145,0,64,14,59,32,13,295,54,80,23,231,140
403021058,17,115,5,409,250,5,18,180,110,138,108,59,52,9,96,292,155,106,73,63,193,3,116,202,81,42,63,0,119,32,128,88,189,19,102,0,80,509,112,8,118,31,153,94,15,110,49,124,21,75,163
403021059,4,8,0,48,86,0,13,53,24,139,40,6,16,0,22,5,66,25,31,14,32,0,11,103,54,3,35,0,20,16,25,25,44,13,7,0,32,268,69,0,6,5,26,6,0,42,14,6,6,55,58
403021060,4,4,3,33,47,3,13,31,17,78,15,14,14,0,17,18,68,24,14,14,24,0,4,56,9,0,17,0,17,10,25,4,29,3,15,0,16,64,21,0,8,3,23,6,0,44,12,0,12,8,27
403021061,21,53,0,379,236,35,20,374,146,517,200,108,96,8,104,130,64,68,47,73,66,0,131,437,89,299,70,5,145,36,207,240,504,15,113,0,73,387,68,5,38,19,60,52,6,158,42,117,16,51,76
403021062,6,18,5,93,103,0,21,56,45,96,156,19,24,3,34,31,87,67,61,98,39,0,55,419,70,9,111,0,49,16,40,44,59,27,38,0,18,126,22,0,3,6,291,15,6,87,19,4,59,61,47
403021063,0,0,0,30,22,0,5,32,5,105,32,3,12,3,8,6,46,25,12,22,24,0,24,147,11,11,17,0,12,3,16,9,26,8,0,0,8,49,17,0,0,0,27,4,0,29,9,0,12,26,22
403021064,9,22,9,103,245,7,20,106,30,160,263,14,81,5,45,26,65,42,82,27,70,0,96,347,148,26,196,0,54,15,66,108,101,8,59,3,44,703,164,0,9,10,40,24,0,71,22,24,9,99,106
403031065,0,6,0,49,32,3,13,31,20,142,48,22,17,0,12,4,34,9,29,12,12,0,18,116,29,0,19,0,18,11,20,29,16,3,7,0,5,22,6,0,0,0,0,0,0,14,8,0,3,26,12
403031066,16,28,6,322,88,154,35,241,271,1070,3389,74,155,5,249,16,54,36,34,24,33,0,389,509,65,36,55,0,270,100,339,272,92,64,112,0,25,41,13,3,55,4,16,19,0,161,46,0,4,84,27
