Code,Label,Year,Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%)
127031522,Casula,2018,"1,272","1,173","1,209","1,163","1,281","1,264","1,236","1,117","1,043","1,187","1,042",994,800,667,466,348,288,271,7.6,7.0,7.2,6.9,7.6,7.5,7.3,6.6,6.2,7.1,6.2,5.9,4.8,4.0,2.8,2.1,1.7,1.6
127031523,Chipping Norton - Moorebank,2018,"1,637","1,601","1,351","1,229","1,229","1,357","1,560","1,685","1,484","1,405","1,077","1,097","1,002",982,879,458,262,254,8.0,7.8,6.6,6.0,6.0,6.6,7.6,8.2,7.2,6.8,5.2,5.3,4.9,4.8,4.3,2.2,1.3,1.2
127031524,Holsworthy - Wattle Grove,2018,"1,740","1,669","1,506","1,561","1,580","1,684","1,677","1,742","1,570","1,676","1,420","1,191",834,639,472,347,199,277,8.0,7.7,6.9,7.2,7.3,7.7,7.7,8.0,7.2,7.7,6.5,5.5,3.8,2.9,2.2,1.6,0.9,1.3
127031598,Liverpool,2018,"2,633","2,057","1,796","1,668","2,235","2,817","2,772","2,491","1,999","1,758","1,607","1,566","1,422","1,112",919,718,508,442,8.6,6.7,5.9,5.5,7.3,9.2,9.1,8.2,6.5,5.8,5.3,5.1,4.7,3.6,3.0,2.4,1.7,1.4
127031599,Lurnea - Cartwright,2018,"1,070","1,013",946,844,940,895,819,790,765,708,721,729,578,437,405,353,257,163,8.6,8.1,7.6,6.8,7.6,7.2,6.6,6.4,6.2,5.7,5.8,5.9,4.6,3.5,3.3,2.8,2.1,1.3
127031600,Prestons - Edmondson Park,2018,"1,658","1,827","1,695","1,637","1,452","1,388","1,637","1,681","1,681","1,472","1,245","1,024",768,502,347,226,149,162,8.1,8.9,8.2,8.0,7.1,6.8,8.0,8.2,8.2,7.2,6.1,5.0,3.7,2.4,1.7,1.1,0.7,0.8
127031601,Warwick Farm,2018,567,339,315,328,511,659,765,568,415,384,339,363,329,274,189,159,92,62,8.5,5.1,4.7,4.9,7.7,9.9,11.5,8.5,6.2,5.8,5.1,5.5,4.9,4.1,2.8,2.4,1.4,0.9
128011529,Gymea - Grays Point,2018,"1,173","1,196","1,294","1,148","1,042",962,"1,090","1,073","1,338","1,484","1,295","1,178",972,782,771,577,448,435,6.4,6.6,7.1,6.3,5.7,5.3,6.0,5.9,7.3,8.1,7.1,6.5,5.3,4.3,4.2,3.2,2.5,2.4
128011530,Miranda - Yowie Bay,2018,"1,298","1,170","1,101","1,067","1,084","1,245","1,322","1,333","1,261","1,345","1,146","1,154","1,011",837,764,629,601,782,6.8,6.1,5.7,5.6,5.7,6.5,6.9,7.0,6.6,7.0,6.0,6.0,5.3,4.4,4.0,3.3,3.1,4.1
128011531,Sylvania - Taren Point,2018,904,"1,036","1,030",968,"1,009",905,903,952,"1,073","1,203","1,047","1,035",963,864,933,771,629,859,5.3,6.1,6.0,5.7,5.9,5.3,5.3,5.6,6.3,7.0,6.1,6.1,5.6,5.1,5.5,4.5,3.7,5.0
128011602,Caringbah,2018,926,789,658,610,631,"1,045","1,112",983,911,863,693,717,629,532,482,348,256,416,7.3,6.3,5.2,4.8,5.0,8.3,8.8,7.8,7.2,6.8,5.5,5.7,5.0,4.2,3.8,2.8,2.0,3.3
128011603,Caringbah South,2018,741,940,902,820,823,588,572,787,818,880,813,837,800,670,597,365,366,386,5.8,7.4,7.1,6.5,6.5,4.6,4.5,6.2,6.4,6.9,6.4,6.6,6.3,5.3,4.7,2.9,2.9,3.0
128011604,Cronulla - Kurnell - Bundeena,2018,"1,420","1,111","1,092","1,111","1,475","2,387","2,336","1,770","1,563","1,648","1,602","1,805","1,655","1,431","1,164",684,488,607,5.6,4.4,4.3,4.4,5.8,9.4,9.2,7.0,6.2,6.5,6.3,7.1,6.5,5.6,4.6,2.7,1.9,2.4
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2018,181,177,244,300,254,159,102,140,200,242,279,255,209,192,119,102,57,68,5.5,5.4,7.4,9.1,7.7,4.8,3.1,4.3,6.1,7.4,8.5,7.8,6.4,5.9,3.6,3.1,1.7,2.1
128011606,Woolaware - Burraneer,2018,445,582,586,550,586,487,403,474,516,642,598,588,555,440,313,203,165,198,5.3,7.0,7.0,6.6,7.0,5.8,4.8,5.7,6.2,7.7,7.2,7.1,6.7,5.3,3.8,2.4,2.0,2.4
128021533,Heathcote - Waterfall,2018,455,491,426,431,382,354,351,430,455,476,417,416,368,305,286,226,179,261,6.8,7.3,6.3,6.4,5.7,5.3,5.2,6.4,6.8,7.1,6.2,6.2,5.5,4.5,4.3,3.4,2.7,3.9
128021534,Illawong - Alfords Point,2018,538,620,678,715,762,811,494,532,613,720,684,990,912,714,403,214,144,149,5.0,5.8,6.3,6.7,7.1,7.6,4.6,5.0,5.7,6.7,6.4,9.3,8.5,6.7,3.8,2.0,1.3,1.4
128021535,Menai - Lucas Heights - Woronora,2018,"1,253","1,411","1,491","1,637","1,778","1,309","1,075","1,237","1,317","1,607","1,618","1,666","1,474","1,118",745,454,238,330,5.8,6.5,6.9,7.5,8.2,6.0,4.9,5.7,6.1,7.4,7.4,7.7,6.8,5.1,3.4,2.1,1.1,1.5
128021536,Oyster Bay - Como - Jannali,2018,"1,534","1,853","1,619","1,373","1,249",909,"1,090","1,447","1,762","1,805","1,457","1,330","1,178","1,066",976,603,389,473,6.9,8.4,7.3,6.2,5.6,4.1,4.9,6.5,8.0,8.2,6.6,6.0,5.3,4.8,4.4,2.7,1.8,2.1
